,SPEND,CLICKS,IMPRESSIONS,SEARCH_IMPRESSION_SHARE,CPC,ELIGIBLE_IMPRESSIONS,lag_SPEND,lag_CLICKS,lag_IMPRESSIONS,lag_ELIGIBLE_IMPRESSIONS,rolling_7_SPEND,rolling_14_SPEND,rolling_7_CLICKS,rolling_14_CLICKS,rolling_7_IMPRESSIONS,rolling_14_IMPRESSIONS,rolling_7_ELIGIBLE_IMPRESSIONS,rolling_14_ELIGIBLE_IMPRESSIONS
2022-05-06,9531.27,1044.0,7054.0,1.86,9.129568965517242,3792.4731182795695,10047.490000000002,1185.0,7557.0,4175.138121546961,8843.081428571428,8250.702857142858,946.2857142857143,809.0714285714286,6186.714285714285,4931.428571428572,3574.3899394069804,3196.9591946103683
2022-05-07,4826.41,488.0,3488.0,1.91,9.890184426229508,1826.178010471204,9531.27,1044.0,7054.0,3792.4731182795695,9229.541428571429,8129.188571428572,984.1428571428571,807.4285714285714,6536.428571428572,5008.071428571428,3686.7010837600096,3212.400481072597
2022-05-08,5475.160000000001,519.0,3246.0,1.89,10.549441233140657,1717.4603174603174,4826.41,488.0,3488.0,1826.178010471204,8740.931428571428,8076.012142857143,975.0,805.2857142857143,6506.142857142857,5041.357142857143,3560.6239862543407,3208.5976011095713
2022-05-09,10114.5,1138.0,7770.0,1.82,8.887961335676625,4269.2307692307695,5475.160000000001,519.0,3246.0,1717.4603174603174,8680.065714285714,8149.937857142858,978.2857142857143,835.0714285714286,6529.714285714285,5275.857142857143,3556.7126433599474,3270.7396257515966
2022-05-10,10264.56,1473.0,9010.0,1.79,6.9684725050916505,5033.519553072626,10114.5,1138.0,7770.0,4269.2307692307695,8652.648571428572,8258.343571428572,1008.7142857142857,887.7142857142857,6612.714285714285,5601.642857142857,3617.785303947215,3373.9979348420375
2022-05-11,10020.6,1354.0,8887.0,1.87,7.400738552437224,4752.406417112299,10264.56,1473.0,9010.0,5033.519553072626,8611.427142857143,8386.599285714286,1028.7142857142858,933.8571428571429,6716.0,5962.071428571428,3652.343758167678,3480.949482795579
2022-05-12,9877.72,1290.0,8352.0,1.82,7.657147286821705,4589.01098901099,10020.6,1354.0,8887.0,4752.406417112299,8587.174285714285,8640.723571428573,1043.7142857142858,980.2857142857143,6829.571428571428,6317.214285714285,3711.4684535196825,3598.798093811892
2022-05-13,8372.98,1181.0,7404.0,1.86,7.08973751058425,3980.645161290323,9877.72,1290.0,8352.0,4589.01098901099,8421.704285714286,8632.392857142857,1063.2857142857142,1004.7857142857143,6879.571428571428,6533.142857142857,3738.350173949789,3656.3700566783855
2022-05-14,5495.24,704.0,3884.0,1.9,7.805738636363636,2044.2105263157896,8372.98,1181.0,7404.0,3980.645161290323,8517.251428571428,8873.396428571428,1094.142857142857,1039.142857142857,6936.142857142857,6736.285714285715,3769.497676213302,3728.0993799866555
2022-05-15,6162.620000000001,766.0,4173.0,1.84,8.045195822454309,2267.934782608696,5495.24,704.0,3884.0,2044.2105263157896,8615.460000000001,8678.195714285715,1129.4285714285713,1052.2142857142858,7068.571428571428,6787.357142857143,3848.136885520213,3704.3804358872767
2022-05-16,10383.54,1081.0,7825.0,1.79,9.60549491211841,4371.508379888268,6162.620000000001,766.0,4173.0,2267.934782608696,8653.894285714287,8666.98,1121.2857142857142,1049.7857142857142,7076.428571428572,6803.071428571428,3862.7479727569985,3709.730308058473
2022-05-17,10199.35,1105.0,8086.0,1.77,9.230180995475113,4568.361581920904,10383.54,1081.0,7825.0,4371.508379888268,8644.578571428572,8648.613571428572,1068.7142857142858,1038.7142857142858,6944.428571428572,6778.571428571428,3796.2968340210386,3707.041068984127
2022-05-18,9917.56,1201.0,8628.0,1.88,8.257751873438801,4589.36170212766,10199.35,1105.0,8086.0,4568.361581920904,8629.858571428571,8620.642857142857,1046.857142857143,1037.7857142857142,6907.428571428572,6811.714285714285,3773.004731880376,3712.674245024027
2022-05-19,9294.55,1226.0,8403.0,1.87,7.581199021207179,4493.582887700534,9917.56,1201.0,8628.0,4589.36170212766,8546.548571428571,8566.861428571428,1037.7142857142858,1040.7142857142858,6914.714285714285,6872.142857142857,3759.372145978882,3735.4202997492825
2022-05-20,9118.55,1114.0,7286.0,1.85,8.185412926391383,3938.3783783783774,9294.55,1226.0,8403.0,4493.582887700534,8653.058571428572,8537.381428571429,1028.142857142857,1045.7142857142858,6897.857142857143,6888.714285714285,3753.3340341343182,3745.842104042054
2022-05-21,4969.21,544.0,3499.0,1.81,9.134577205882351,1933.1491712707184,9118.55,1114.0,7286.0,3938.3783783783774,8577.911428571428,8547.581428571428,1005.2857142857143,1049.7142857142858,6842.857142857143,6889.5,3737.4681262707372,3753.4829012420196
2022-05-22,6866.06,542.0,3532.0,1.7799999999999998,12.6680073800738,1984.2696629213483,4969.21,544.0,3499.0,1933.1491712707184,8678.402857142857,8646.93142857143,973.2857142857143,1051.357142857143,6751.285714285715,6909.928571428572,3696.944537743973,3772.540711632093
