Date,Spend Actual,Actual CPC,Predicted CPC Actual,Predicted Clicks Actual,ROI Actual
2023-06-29,11000.53,6.602959183673469,6.6345921948351165,1658.0566939085827,2924.190004014041
2023-06-30,8755.77,6.157362869198312,6.322800908744442,1384.7929305967484,2874.0216066077137
2023-07-01,6813.44,7.156974789915966,7.207196383997141,945.3662196757343,1125.9507087736947
2023-07-02,5806.79,8.236581560283687,8.08583324485261,718.1436747655617,224.33645695547057
2023-07-03,11711.06,10.843574074074075,10.59023928660481,1105.835258586921,-2424.015471932531
2023-07-04,9034.34,11.18111386138614,10.96413956665811,823.9898758196566,-2114.2941722041796
2023-07-05,12019.259999999998,9.493886255924169,9.477676531627514,1268.1652470298056,-1368.932994544195
2023-07-06,12691.68,8.75288275862069,8.70681519984219,1457.6719166188386,-449.83485007115996
2023-07-07,12379.95,9.096216017634092,9.131743355828949,1355.7049861785335,-994.445264283986
2023-07-08,8860.04,9.435612353567626,9.428530595141455,939.705281814072,-968.1910761202525
2023-07-09,8493.039999999999,10.13489260143198,10.111766087712343,839.9165809739809,-1439.2382453560704
2023-07-10,12924.4,8.30083493898523,8.457124187516461,1528.2263466200097,-90.02343276892134
2023-07-11,12642.33,7.320399536768964,7.435240817754344,1700.3255590339234,1637.373107981568
2023-07-12,12246.07,7.066399307559146,7.063864552742657,1733.6218593326892,2313.2626650004713
2023-07-13,12624.16,7.172818181818181,7.212428109350727,1750.334257562041,2075.527012830833
2023-07-14,11339.49,6.978147692307692,7.020447277562733,1615.2090531668655,2225.386216794368
2023-07-15,7612.25,7.235979087452471,7.27219196642864,1046.761421472536,1178.679621742138
2023-07-16,9120.3,7.755357142857142,7.821172155727058,1166.1039826775395,672.8943545747334
2023-07-17,12239.09,7.712091997479521,7.733729887398944,1582.5597969153182,1051.590676127791
2023-07-18,12178.21,7.323036680697535,7.320493973338374,1663.5776280062087,1792.8760069091732
2023-07-19,12952.49,7.418379152348224,7.4329302021616455,1742.5819492066744,1682.0914445895014
2023-07-20,12429.29,7.967493589743589,7.921436977810403,1569.0701112458553,748.1013678794498
2023-07-21,11774.929999999998,8.021069482288826,8.017260997867092,1468.6973522668895,559.5091516209504
2023-07-22,6397.05,7.820354523227384,7.825416178771853,817.4708991648766,468.2480468761405
2023-07-23,6723.98,8.270578105781057,8.427537608492022,797.8582015729684,-23.39364452382779
2023-07-24,9487.93,8.227433341467684,7.9730505165349035,1189.9999856169813,505.94817399373824
2023-07-25,12251.88,8.184288577154309,8.170786561119906,1499.4737542527032,341.0260556525591
2023-07-26,11523.56,7.448972204266322,7.46207983853348,1544.2825927020262,1445.66040690738
2023-07-27,11129.14,6.740847970926711,6.775520703394126,1642.5512498876983,2665.3619196011623
2023-07-28,10618.62,6.526502765826676,6.571141957178263,1615.9474364117648,2952.4573195543944
2023-07-29,8450.76,7.235239726027397,7.282818760518521,1160.3693951321568,1294.274043650912
2023-07-30,11292.66,9.4578391959799,9.306376080120199,1213.4325867318857,-1101.9897556931446
2023-07-31,10394.88,7.499913419913421,7.4398155128211965,1397.1959361204958,1339.0747391235836
2023-08-01,10080.759999999998,6.376192283364958,6.479293606373307,1555.8424440102756,2985.54254731113
2023-08-02,10708.57,6.726488693467337,6.685488122156358,1601.7633722974927,2743.3864704086227
2023-08-03,10768.43,6.312092614302462,6.379056936856987,1688.0912189044816,3408.526464056651
2023-08-04,10381.91,6.807809836065574,6.773653880294754,1532.6897688413087,2489.9513558511644
2023-08-05,5778.25,6.656970046082949,6.675571472147151,865.5813250009988,1491.089845629508
2023-08-06,6126.71,6.77733407079646,7.116493111080612,860.9170140923079,1103.4579502089218
2023-08-07,10608.25,6.844032258064516,6.937312881249893,1529.1583616866817,2233.953832059
2023-08-08,10644.81,5.900670731707318,6.020388210471572,1768.1268429642014,4204.303006997863
2023-08-09,10164.59,5.899355774811376,5.912133665980912,1719.2760810683635,4274.263705321773
2023-08-10,10707.53,5.638509741969458,5.685661811959056,1883.2513002229737,5108.423187331811
2023-08-11,10196.91,6.278885467980295,6.259379069919463,1629.0609477548703,3484.2974341596764
2023-08-12,5506.07,6.186595505617977,6.161473930445181,893.6287099736496,1998.817872439312
2023-08-13,9574.45,8.84884473197782,8.637716641002243,1108.4468729329685,-265.4725677919323
2023-08-14,12469.96,8.36910067114094,8.331549101979546,1496.7156584406594,99.78296836606933
2023-08-15,12447.95,7.599481074481075,7.608679692060681,1636.0197174535922,1291.6986925214132
2023-08-16,12085.06,7.605449968533669,7.577152545807551,1594.934235115364,1309.5438940585482
2023-08-17,12423.2,7.461381381381382,7.456857503356948,1666.0101114185554,1568.3145305873877
2023-08-18,10937.45,6.89624842370744,6.910682908623698,1582.6872893200446,2354.301385015475
2023-08-19,6373.18,7.136819708846585,7.1963312318513175,885.6151550934719,1064.4082991778987
2023-08-20,10278.91,10.673842159916926,10.319528824023639,996.0638877301182,-1913.749270751563
2023-08-21,12509.29,8.018775641025641,8.040165264371826,1555.8498598818721,557.0748274104426
2023-08-22,13888.09,8.311244763614603,8.206985876499639,1692.2278421080223,323.6067235924256
2023-08-23,13124.36,7.702089201877935,7.713861073265244,1701.3995812663134,1164.362979810474
2023-08-24,13237.91,7.687520325203252,7.770633046010792,1703.581924615002,1069.1407729400798
2023-08-25,12316.56,8.401473396998636,8.385319427155235,1468.824188153612,18.944346927939478
2023-08-26,7673.8,8.207272727272727,8.241703139732913,931.0939583597625,145.72916038445328
2023-08-27,6596.84,8.154313967861558,8.215002492976813,803.0234933756605,147.12559718470766
2023-08-28,8991.186666666666,8.563025740317054,7.9841435405669126,1126.1303884359083,466.30076702067345
2023-08-29,11385.533333333333,8.97173751277255,8.774246979480916,1297.6080294934782,-487.93945006090325
2023-08-30,13779.88,9.380449285228046,9.490916422310216,1451.9019435897417,-1586.4923359677887
